scenario,scientific_label,num_vehicles,algorithm,seed,mean_delay,completion_ratio,mean_energy,collab_ratio,total_tasks,invariants_passed
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,40,Greedy,1,0.296,1.0,2.1486,0.95,800,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,40,Greedy,2,0.3035,0.9847,2.0574,0.95,800,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,40,Greedy,3,0.3098,0.9839,2.0608,0.95,800,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,40,Greedy,4,0.331,0.9782,1.9687,0.95,800,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,40,Local,0,0.3917,0.9483,0.137,0.0,800,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,40,Local,1,0.3807,0.9149,0.1438,0.0,800,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,40,Local,2,0.3665,0.9788,0.1386,0.0,800,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,40,Local,3,0.3851,0.9609,0.1423,0.0,800,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,40,Local,4,0.4214,0.9472,0.1413,0.0,800,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,60,CoTOP,0,0.2823,0.9832,0.8251,0.52,1200,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,60,CoTOP,1,0.3097,0.989,0.8448,0.52,1200,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,60,CoTOP,2,0.3081,0.9939,0.8431,0.52,1200,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,60,CoTOP,3,0.3006,0.9893,0.8705,0.52,1200,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,60,CoTOP,4,0.2925,0.9785,0.8848,0.52,1200,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,60,DDQN,0,0.306,0.966,0.5921,0.35,1200,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,60,DDQN,1,0.31,0.9796,0.6411,0.35,1200,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,60,DDQN,2,0.3147,0.9741,0.6213,0.35,1200,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,60,DDQN,3,0.3315,0.9601,0.5935,0.35,1200,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,60,DDQN,4,0.3098,0.9851,0.6289,0.35,1200,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,60,Greedy,0,0.3407,0.9807,2.129,0.95,1200,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,60,Greedy,1,0.3339,0.9739,2.1838,0.95,1200,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,60,Greedy,2,0.342,0.9644,2.141,0.95,1200,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,60,Greedy,3,0.307,0.9572,2.1174,0.95,1200,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,60,Greedy,4,0.3406,0.9797,2.1984,0.95,1200,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,60,Local,0,0.5094,0.9069,0.1407,0.0,1200,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,60,Local,1,0.4801,0.8785,0.1439,0.0,1200,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,60,Local,2,0.4531,0.8689,0.1397,0.0,1200,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,60,Local,3,0.5036,0.9047,0.1415,0.0,1200,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,60,Local,4,0.4469,0.8607,0.1412,0.0,1200,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,80,CoTOP,0,0.3135,0.9815,1.0964,0.66,1600,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,80,CoTOP,1,0.3213,0.969,1.0754,0.66,1600,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,80,CoTOP,2,0.3088,0.9798,1.0812,0.66,1600,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,80,CoTOP,3,0.316,0.9754,1.1196,0.66,1600,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,80,CoTOP,4,0.3296,0.9796,1.0905,0.66,1600,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,80,DDQN,0,0.3372,0.9684,0.7568,0.45,1600,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,80,DDQN,1,0.3507,0.9625,0.7757,0.45,1600,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,80,DDQN,2,0.3777,0.9547,0.7567,0.45,1600,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,80,DDQN,3,0.348,0.965,0.7801,0.45,1600,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,80,DDQN,4,0.3405,0.9609,0.7708,0.45,1600,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,80,Greedy,0,0.3886,0.9577,2.3077,0.95,1600,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,80,Greedy,1,0.3692,0.9452,2.2477,0.95,1600,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,80,Greedy,2,0.3808,0.9379,2.3001,0.95,1600,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,80,Greedy,3,0.3885,0.9522,2.2591,0.95,1600,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,80,Greedy,4,0.3739,0.9621,2.2786,0.95,1600,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,80,Local,0,0.6431,0.7849,0.138,0.0,1600,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,80,Local,1,0.6322,0.8104,0.139,0.0,1600,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,80,Local,2,0.6173,0.82,0.1389,0.0,1600,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,80,Local,3,0.6287,0.8187,0.1409,0.0,1600,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,80,Local,4,0.6302,0.8221,0.1377,0.0,1600,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,100,CoTOP,0,0.3571,0.9723,1.3865,0.8,2000,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,100,CoTOP,1,0.3384,0.9671,1.3457,0.8,2000,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,100,CoTOP,2,0.3415,0.9633,1.3643,0.8,2000,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,100,CoTOP,3,0.3335,0.9644,1.3509,0.8,2000,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,100,CoTOP,4,0.3532,0.9557,1.2972,0.8,2000,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,100,DDQN,0,0.3837,0.935,0.9397,0.55,2000,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,100,DDQN,1,0.3698,0.9433,0.927,0.55,2000,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,100,DDQN,2,0.3886,0.9431,0.974,0.55,2000,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,100,DDQN,3,0.3967,0.9482,0.9689,0.55,2000,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,100,DDQN,4,0.387,0.9469,0.9522,0.55,2000,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,100,Greedy,0,0.4372,0.919,2.3949,0.95,2000,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,100,Greedy,1,0.4233,0.9258,2.3235,0.95,2000,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,100,Greedy,2,0.4152,0.9056,2.3227,0.95,2000,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,100,Greedy,3,0.4342,0.9115,2.2865,0.95,2000,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,100,Greedy,4,0.4384,0.9232,2.4049,0.95,2000,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,100,Local,0,0.8033,0.6904,0.1402,0.0,2000,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,100,Local,1,0.8202,0.7023,0.1408,0.0,2000,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,100,Local,2,0.8109,0.7296,0.1396,0.0,2000,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,100,Local,3,0.799,0.7231,0.1396,0.0,2000,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,100,Local,4,0.8144,0.7429,0.1435,0.0,2000,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,120,CoTOP,0,0.3876,0.9534,1.56,0.9,2400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,120,CoTOP,1,0.3714,0.958,1.5899,0.9,2400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,120,CoTOP,2,0.382,0.944,1.5737,0.9,2400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,120,CoTOP,3,0.4032,0.9506,1.5528,0.9,2400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,120,CoTOP,4,0.3772,0.9472,1.6117,0.9,2400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,120,DDQN,0,0.4413,0.9153,1.0837,0.65,2400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,120,DDQN,1,0.4351,0.9137,1.0944,0.65,2400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,120,DDQN,2,0.4367,0.9281,1.1035,0.65,2400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,120,DDQN,3,0.4357,0.918,1.1169,0.65,2400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,120,DDQN,4,0.4335,0.911,1.0477,0.65,2400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,120,Greedy,0,0.4601,0.8943,2.4055,0.95,2400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,120,Greedy,1,0.4965,0.8677,2.5226,0.95,2400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,120,Greedy,2,0.487,0.881,2.3953,0.95,2400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,120,Greedy,3,0.4843,0.8987,2.4178,0.95,2400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,120,Greedy,4,0.484,0.8925,2.3824,0.95,2400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,120,Local,0,1.0442,0.68,0.141,0.0,2400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,120,Local,1,1.0457,0.68,0.1383,0.0,2400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,120,Local,2,1.0488,0.68,0.1396,0.0,2400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,120,Local,3,1.0779,0.68,0.1362,0.0,2400,True
Hangzhou_200m_Urban_Grid,COMPARABLE_RECONSTRUCTION,120,Local,4,1.0231,0.68,0.1406,0.0,2400,True
