Seed,Epoch,Total Episodes Equivalent,Mean Reward,Mean Delay (s),Mean Energy (J),Critic Value Loss (MSE),Policy Loss,Action Entropy
42,80,800,-47.4517,4.4036,0.3207,0.001786,-0.008778,0.2256
42,81,810,-47.5278,4.3963,0.3163,0.001583,-0.01629,0.2123
42,82,820,-47.5383,4.3949,0.3229,0.001557,-0.014643,0.2263
42,83,830,-47.4843,4.3969,0.3225,0.001343,-0.01656,0.2175
42,84,840,-47.5191,4.3915,0.3213,0.001487,-0.017148,0.2208
42,85,850,-47.493,4.4002,0.3183,0.000816,-0.014127,0.2134
42,86,860,-47.4315,4.4044,0.3189,0.000704,-0.015257,0.2209
42,87,870,-47.4068,4.395,0.3196,0.000942,-0.017329,0.2195
42,88,880,-47.4552,4.4103,0.3178,0.0004,-0.017138,0.2166
42,89,890,-47.396,4.3954,0.3206,0.0004,-0.013913,0.21
42,90,900,-47.4324,4.4048,0.3176,0.000491,-0.011672,0.2128
42,91,910,-47.3454,4.3929,0.3204,0.000796,-0.018537,0.2114
42,92,920,-47.3491,4.4021,0.32,0.0004,-0.013334,0.2143
42,93,930,-47.3096,4.4065,0.32,0.0004,-0.014401,0.2127
42,94,940,-47.3408,4.3997,0.3198,0.000779,-0.011607,0.213
42,95,950,-47.2913,4.3997,0.3152,0.0004,-0.017018,0.2126
42,96,960,-47.3442,4.4205,0.3199,0.0004,-0.011548,0.203
42,97,970,-47.3258,4.4113,0.3163,0.000489,-0.012465,0.2118
42,98,980,-47.2986,4.4262,0.3196,0.0004,-0.013999,0.2094
42,99,990,-47.2821,4.3949,0.3193,0.0004,-0.012064,0.2151
42,100,1000,-47.2654,4.3983,0.3187,0.0004,-0.013855,0.2152
123,1,10,-74.0079,4.7431,0.3669,11.18519,-0.249647,1.0223
123,2,20,-72.9297,4.7109,0.3663,10.009044,-0.237068,0.9701
123,3,30,-70.5213,4.6919,0.3604,8.956555,-0.219209,0.9404
123,4,40,-69.3794,4.6861,0.3605,8.015053,-0.214056,0.8965
123,5,50,-68.7192,4.6607,0.3587,7.171632,-0.201646,0.8495
123,6,60,-67.3314,4.6248,0.3513,6.417574,-0.189278,0.8182
123,7,70,-66.188,4.6461,0.3511,5.74288,-0.183063,0.7775
123,8,80,-65.2453,4.6322,0.3517,5.138901,-0.16751,0.7571
123,9,90,-63.9955,4.6367,0.3467,4.598285,-0.160145,0.7216
123,10,100,-63.2694,4.6135,0.3495,4.115263,-0.152447,0.703
123,11,110,-62.5504,4.5999,0.3468,3.68192,-0.144852,0.6754
123,12,120,-61.5776,4.5794,0.3423,3.295004,-0.139417,0.6422
123,13,130,-60.6096,4.561,0.339,2.948671,-0.134225,0.6222
123,14,140,-60.212,4.5467,0.3445,2.638263,-0.123535,0.6045
123,15,150,-59.4287,4.5433,0.3393,2.360703,-0.116475,0.5802
123,16,160,-58.5454,4.5332,0.3399,2.112902,-0.115448,0.5646
123,17,170,-58.2588,4.5245,0.3392,1.890421,-0.10794,0.5307
123,18,180,-57.4095,4.5567,0.3373,1.691698,-0.103611,0.5134
123,19,190,-56.8956,4.5077,0.3355,1.51404,-0.10047,0.5083
123,20,200,-56.2934,4.52,0.3327,1.354534,-0.090379,0.4797
123,21,210,-55.9645,4.5055,0.3348,1.212299,-0.086633,0.4733
123,22,220,-55.3577,4.5101,0.3347,1.084566,-0.087638,0.4549
123,23,230,-55.1029,4.5027,0.3345,0.970678,-0.082762,0.4559
123,24,240,-54.4147,4.4907,0.3305,0.868569,-0.075365,0.4357
123,25,250,-54.1293,4.4872,0.3324,0.777515,-0.074817,0.4227
123,26,260,-53.7869,4.4874,0.328,0.6951,-0.073009,0.4113
123,27,270,-53.3991,4.4748,0.3329,0.62231,-0.067742,0.3987
123,28,280,-53.1062,4.4829,0.3309,0.556713,-0.061721,0.3839
123,29,290,-52.7927,4.4691,0.3269,0.498315,-0.063398,0.3801
123,30,300,-52.4593,4.4828,0.3291,0.445803,-0.060002,0.3712
123,31,310,-52.2039,4.4791,0.3307,0.398959,-0.057764,0.3491
123,32,320,-51.993,4.4514,0.3267,0.357147,-0.053899,0.3535
123,33,330,-51.6687,4.4567,0.3274,0.318873,-0.052509,0.3453
123,34,340,-51.4747,4.4528,0.328,0.285799,-0.045409,0.342
123,35,350,-51.2164,4.45,0.326,0.255668,-0.047957,0.333
123,36,360,-50.9508,4.4552,0.3252,0.228662,-0.047172,0.3331
123,37,370,-50.7211,4.4505,0.3239,0.20487,-0.046517,0.3161
123,38,380,-50.6206,4.4408,0.327,0.183041,-0.044007,0.3061
123,39,390,-50.515,4.4433,0.3215,0.164197,-0.041133,0.3077
123,40,400,-50.2194,4.4356,0.3265,0.146756,-0.037904,0.3011
123,41,410,-50.0583,4.4407,0.3246,0.131163,-0.036756,0.2955
123,42,420,-49.8784,4.4144,0.3209,0.117617,-0.032517,0.2966
123,43,430,-49.8283,4.4172,0.3251,0.105167,-0.033751,0.2885
123,44,440,-49.6376,4.462,0.3233,0.09409,-0.033936,0.2808
123,45,450,-49.4386,4.4272,0.3244,0.084281,-0.030083,0.2819
123,46,460,-49.4684,4.4159,0.3257,0.075246,-0.034053,0.2727
123,47,470,-49.1802,4.4135,0.3209,0.067308,-0.032866,0.2665
123,48,480,-49.2578,4.4217,0.3218,0.060213,-0.032678,0.2753
123,49,490,-49.1387,4.4278,0.3201,0.054137,-0.02652,0.2615
123,50,500,-49.077,4.4307,0.3259,0.048407,-0.027223,0.2669
123,51,510,-48.8074,4.4143,0.3206,0.043364,-0.026992,0.2666
123,52,520,-48.8129,4.429,0.3225,0.03867,-0.023558,0.2607
123,53,530,-48.7471,4.4268,0.3244,0.0346,-0.025655,0.2514
123,54,540,-48.6049,4.4263,0.3199,0.030715,-0.025198,0.2454
123,55,550,-48.4964,4.4142,0.3178,0.027656,-0.024159,0.2523
123,56,560,-48.4663,4.4363,0.3202,0.024798,-0.023344,0.2465
123,57,570,-48.3814,4.4222,0.3238,0.021887,-0.023557,0.2436
123,58,580,-48.27,4.4124,0.3172,0.019884,-0.022034,0.2448
123,59,590,-48.3277,4.4324,0.3202,0.01774,-0.023228,0.2374
123,60,600,-48.2809,4.4106,0.3189,0.016319,-0.024695,0.2347
123,61,610,-48.1783,4.4205,0.3199,0.01437,-0.02241,0.239
123,62,620,-48.0027,4.4035,0.3214,0.012779,-0.024484,0.2342
123,63,630,-47.9904,4.4139,0.3181,0.011537,-0.020508,0.2375
123,64,640,-47.9883,4.4008,0.322,0.009998,-0.021753,0.2299
123,65,650,-47.9863,4.4126,0.3188,0.009276,-0.018253,0.2295
123,66,660,-47.8756,4.4226,0.3201,0.008124,-0.021938,0.2297
123,67,670,-47.9034,4.4129,0.3199,0.007357,-0.014977,0.2279
123,68,680,-47.8778,4.3969,0.3201,0.006735,-0.021221,0.2261
123,69,690,-47.8139,4.4181,0.3208,0.005917,-0.017858,0.2308
123,70,700,-47.7272,4.3921,0.3215,0.005217,-0.018177,0.2152
123,71,710,-47.8278,4.4258,0.3186,0.004469,-0.017753,0.2227
123,72,720,-47.7161,4.4236,0.3187,0.004224,-0.018873,0.2332
123,73,730,-47.6849,4.3972,0.3217,0.003992,-0.016009,0.2165
123,74,740,-47.5723,4.4108,0.3222,0.003248,-0.016895,0.2245
123,75,750,-47.5841,4.4089,0.3173,0.003057,-0.012617,0.2235
123,76,760,-47.6137,4.3945,0.3169,0.002561,-0.01632,0.223
123,77,770,-47.5896,4.4229,0.3198,0.002619,-0.015547,0.229
123,78,780,-47.6771,4.4006,0.3216,0.002119,-0.013418,0.2231
123,79,790,-47.5074,4.4125,0.321,0.002225,-0.013131,0.2255
123,80,800,-47.5377,4.4003,0.3183,0.001874,-0.019813,0.2134
123,81,810,-47.5719,4.4034,0.3143,0.001794,-0.013577,0.2294
123,82,820,-47.4483,4.416,0.324,0.001266,-0.017634,0.2178
123,83,830,-47.5316,4.4029,0.3174,0.001349,-0.013459,0.2183
123,84,840,-47.457,4.4039,0.321,0.001119,-0.014882,0.2226
123,85,850,-47.3932,4.4185,0.3175,0.000882,-0.017627,0.2164
123,86,860,-47.4239,4.4036,0.3233,0.000804,-0.016281,0.22
123,87,870,-47.4251,4.4103,0.32,0.000841,-0.018235,0.2131
123,88,880,-47.4515,4.4012,0.3185,0.000791,-0.012681,0.2107
123,89,890,-47.3739,4.4104,0.3203,0.0004,-0.0129,0.2165
123,90,900,-47.349,4.4222,0.3225,0.00059,-0.013688,0.2189
123,91,910,-47.446,4.3897,0.3184,0.000752,-0.014256,0.2229
123,92,920,-47.5224,4.3882,0.3191,0.000632,-0.013647,0.2146
123,93,930,-47.376,4.3864,0.3216,0.0004,-0.011247,0.2145
123,94,940,-47.3062,4.4073,0.3191,0.000409,-0.016295,0.2146
123,95,950,-47.2649,4.4169,0.3173,0.000427,-0.01278,0.2184
123,96,960,-47.3404,4.4014,0.3219,0.0004,-0.010696,0.219
123,97,970,-47.3545,4.4019,0.3231,0.0004,-0.014659,0.2079
123,98,980,-47.2812,4.4051,0.3176,0.0004,-0.012761,0.2054
123,99,990,-47.2944,4.4168,0.3243,0.0004,-0.012556,0.2215
123,100,1000,-47.3096,4.4061,0.3179,0.0004,-0.011141,0.2069
456,1,10,-73.8883,4.7281,0.3675,11.185605,-0.245789,1.0222
456,2,20,-72.1828,4.7197,0.3631,10.009154,-0.239742,0.965
456,3,30,-71.2024,4.7006,0.3607,8.95703,-0.219789,0.9341
456,4,40,-69.3964,4.6938,0.3588,8.014737,-0.214127,0.8887
456,5,50,-68.1462,4.6685,0.3561,7.171858,-0.201151,0.8596
456,6,60,-67.5729,4.65,0.3566,6.417426,-0.188483,0.8149
456,7,70,-66.0416,4.6401,0.3536,5.74258,-0.181212,0.7843
456,8,80,-64.9107,4.621,0.351,5.138845,-0.171517,0.761
456,9,90,-64.1896,4.6187,0.3473,4.598506,-0.16606,0.7211
456,10,100,-63.0339,4.602,0.3464,4.114915,-0.158233,0.7063
456,11,110,-62.4983,4.5945,0.3456,3.682172,-0.149722,0.6697
456,12,120,-61.466,4.5754,0.3444,3.295327,-0.140193,0.642
456,13,130,-60.6112,4.5805,0.345,2.948522,-0.132919,0.6297
456,14,140,-60.1147,4.5729,0.3426,2.638562,-0.126713,0.5993
456,15,150,-59.5014,4.5455,0.343,2.360787,-0.119547,0.578
456,16,160,-58.8384,4.5568,0.3428,2.112284,-0.11452,0.5626
456,17,170,-58.0868,4.5613,0.343,1.890576,-0.110704,0.5363
456,18,180,-57.8002,4.5425,0.3355,1.691829,-0.10244,0.5203
456,19,190,-57.0621,4.5231,0.3359,1.514007,-0.094713,0.5076
456,20,200,-56.303,4.5057,0.3385,1.355115,-0.093004,0.4858
456,21,210,-55.9471,4.5011,0.3328,1.212013,-0.087463,0.472
456,22,220,-55.426,4.4985,0.3333,1.084377,-0.087798,0.4623
456,23,230,-54.9878,4.5054,0.3357,0.971095,-0.081712,0.4404
456,24,240,-54.5737,4.5127,0.3308,0.868397,-0.078153,0.4358
456,25,250,-54.0628,4.4981,0.3327,0.776742,-0.074578,0.417
456,26,260,-53.8284,4.4789,0.3306,0.695646,-0.071291,0.4018
456,27,270,-53.3892,4.4719,0.3295,0.622276,-0.070085,0.3913
456,28,280,-53.1123,4.4834,0.3313,0.556307,-0.065552,0.3931
456,29,290,-52.5984,4.4833,0.3265,0.498235,-0.059569,0.3757
456,30,300,-52.7135,4.4634,0.3284,0.44601,-0.060304,0.3745
456,31,310,-52.2435,4.4703,0.328,0.398667,-0.060382,0.3524
456,32,320,-51.909,4.4615,0.3254,0.357185,-0.056368,0.3446
456,33,330,-51.6768,4.4689,0.3284,0.31935,-0.055447,0.3456
456,34,340,-51.3152,4.4648,0.3276,0.285739,-0.052144,0.342
456,35,350,-51.3393,4.4717,0.328,0.255669,-0.047984,0.3236
456,36,360,-51.0269,4.4619,0.3295,0.229083,-0.050563,0.3275
456,37,370,-50.7543,4.4426,0.3272,0.204633,-0.042671,0.3182
456,38,380,-50.5598,4.4678,0.3257,0.18323,-0.044113,0.3116
456,39,390,-50.4161,4.4365,0.3286,0.164162,-0.041432,0.3144
456,40,400,-50.3726,4.4531,0.3269,0.147206,-0.038704,0.3077
456,41,410,-50.0447,4.4441,0.3221,0.131659,-0.036946,0.2908
456,42,420,-49.933,4.4171,0.3203,0.117355,-0.034793,0.2989
456,43,430,-49.8419,4.4305,0.324,0.10517,-0.034541,0.2819
456,44,440,-49.6004,4.4303,0.3224,0.094249,-0.033176,0.2861
456,45,450,-49.5212,4.4455,0.3224,0.0845,-0.033132,0.2832
456,46,460,-49.4551,4.4105,0.3248,0.075283,-0.029799,0.2829
456,47,470,-49.3178,4.4216,0.3229,0.067393,-0.030148,0.2771
456,48,480,-49.2202,4.4253,0.325,0.060534,-0.027459,0.2658
456,49,490,-49.0402,4.4306,0.3232,0.053883,-0.026164,0.2696
456,50,500,-49.0225,4.4312,0.3249,0.048252,-0.02771,0.2699
456,51,510,-48.9514,4.4082,0.3234,0.043173,-0.030016,0.251
456,52,520,-48.737,4.4382,0.3205,0.038557,-0.026883,0.2548
456,53,530,-48.6255,4.3991,0.3222,0.034991,-0.023737,0.2542
456,54,540,-48.5787,4.4302,0.3202,0.030677,-0.023502,0.2552
456,55,550,-48.5775,4.4212,0.3196,0.028111,-0.026192,0.2503
456,56,560,-48.4221,4.4167,0.3207,0.025372,-0.021242,0.2351
456,57,570,-48.3205,4.4212,0.3195,0.021701,-0.020612,0.254
456,58,580,-48.4002,4.4093,0.3213,0.019906,-0.021572,0.245
456,59,590,-48.3196,4.4128,0.3192,0.017891,-0.021096,0.2465
456,60,600,-48.2423,4.3999,0.3185,0.015854,-0.022057,0.249
456,61,610,-48.1638,4.4114,0.3206,0.013976,-0.021566,0.24
456,62,620,-48.0192,4.409,0.3188,0.012561,-0.022178,0.2387
456,63,630,-48.161,4.427,0.3168,0.011443,-0.016755,0.2369
456,64,640,-48.0026,4.4179,0.3192,0.00996,-0.019094,0.2331
456,65,650,-48.0467,4.4197,0.3216,0.00891,-0.023346,0.2317
456,66,660,-47.8795,4.4117,0.3202,0.008069,-0.01807,0.2372
456,67,670,-47.9237,4.3959,0.3212,0.007104,-0.020993,0.2345
456,68,680,-47.8285,4.4001,0.3218,0.006486,-0.015065,0.2246
456,69,690,-47.8447,4.408,0.3197,0.00587,-0.016299,0.2273
456,70,700,-47.6714,4.4107,0.3199,0.005155,-0.013313,0.2276
456,71,710,-47.7779,4.4026,0.3196,0.004617,-0.021092,0.2262
456,72,720,-47.7036,4.4147,0.3226,0.004557,-0.012658,0.228
456,73,730,-47.7531,4.4167,0.3206,0.003822,-0.018248,0.2194
456,74,740,-47.6653,4.408,0.321,0.003264,-0.014056,0.225
456,75,750,-47.6499,4.3967,0.3212,0.002907,-0.016801,0.2218
456,76,760,-47.4777,4.4115,0.3198,0.002914,-0.011059,0.2268
456,77,770,-47.5391,4.4004,0.3212,0.00239,-0.013715,0.2153
456,78,780,-47.5025,4.3919,0.3197,0.002209,-0.015666,0.2236
456,79,790,-47.5509,4.4085,0.3182,0.001835,-0.017128,0.2163
456,80,800,-47.387,4.4064,0.319,0.001383,-0.015738,0.2172
456,81,810,-47.5074,4.4118,0.3202,0.001233,-0.01175,0.2276
456,82,820,-47.5422,4.4063,0.3221,0.001136,-0.01831,0.2121
456,83,830,-47.4304,4.4154,0.3182,0.001216,-0.01497,0.2152
456,84,840,-47.455,4.4235,0.318,0.00115,-0.012053,0.2131
456,85,850,-47.4293,4.4164,0.3174,0.001272,-0.011178,0.2271
456,86,860,-47.4094,4.4013,0.3202,0.000859,-0.013061,0.2193
456,87,870,-47.5164,4.4076,0.3193,0.000806,-0.016149,0.2117
456,88,880,-47.4176,4.4185,0.3173,0.000443,-0.011422,0.2172
456,89,890,-47.3337,4.3962,0.3208,0.000859,-0.015135,0.2173
456,90,900,-47.4011,4.3888,0.317,0.0004,-0.01241,0.2141
456,91,910,-47.4098,4.3982,0.3209,0.0004,-0.011011,0.2195
456,92,920,-47.405,4.3904,0.3198,0.000728,-0.016706,0.2134
456,93,930,-47.4683,4.39,0.3246,0.0004,-0.011836,0.2107
456,94,940,-47.4786,4.4006,0.3196,0.0004,-0.014289,0.2106
456,95,950,-47.3006,4.4108,0.3215,0.0004,-0.013141,0.2089
456,96,960,-47.3324,4.3935,0.3174,0.0004,-0.014518,0.2076
456,97,970,-47.3408,4.399,0.3218,0.0004,-0.013437,0.2102
456,98,980,-47.3267,4.4054,0.3227,0.0004,-0.013381,0.2024
456,99,990,-47.2892,4.3957,0.3162,0.0004,-0.01073,0.2051
456,100,1000,-47.3086,4.3973,0.3201,0.0004,-0.010738,0.2187
789,1,10,-74.0143,4.7258,0.3673,11.185738,-0.248296,1.0091
789,2,20,-72.2471,4.7093,0.3619,10.009429,-0.234099,0.9773
789,3,30,-71.0227,4.6951,0.3596,8.956291,-0.223093,0.9243
789,4,40,-69.3137,4.6652,0.36,8.014838,-0.21041,0.8906
789,5,50,-68.1354,4.6669,0.3558,7.172034,-0.202031,0.8525
789,6,60,-67.1315,4.6597,0.3562,6.417564,-0.189893,0.8211
789,7,70,-65.7339,4.6329,0.3547,5.742481,-0.180204,0.7774
789,8,80,-65.0131,4.6198,0.3468,5.139131,-0.172448,0.7641
789,9,90,-63.8918,4.6176,0.3496,4.598791,-0.162322,0.7204
789,10,100,-63.2349,4.6113,0.3475,4.114854,-0.153392,0.698
789,11,110,-62.4143,4.5785,0.3462,3.682281,-0.146104,0.6686
789,12,120,-61.62,4.5726,0.3412,3.295194,-0.140175,0.6468
789,13,130,-60.7773,4.5787,0.3375,2.948595,-0.135566,0.6256
789,14,140,-60.0918,4.5645,0.342,2.638714,-0.129682,0.6058
789,15,150,-59.5623,4.5658,0.3397,2.360981,-0.122967,0.5741
789,16,160,-58.6609,4.5609,0.3408,2.112646,-0.115492,0.5603
789,17,170,-58.1454,4.5423,0.3393,1.89013,-0.109536,0.5432
789,18,180,-57.4002,4.5495,0.3377,1.691953,-0.10479,0.5237
789,19,190,-57.1091,4.5185,0.3328,1.513833,-0.099816,0.511
789,20,200,-56.5561,4.5202,0.3368,1.354646,-0.094642,0.4877
789,21,210,-56.1103,4.4878,0.3346,1.212028,-0.093592,0.474
789,22,220,-55.3821,4.4973,0.3358,1.08492,-0.083287,0.455
789,23,230,-54.9094,4.4922,0.3326,0.970732,-0.082976,0.4468
789,24,240,-54.5413,4.4913,0.3335,0.868803,-0.07856,0.4249
789,25,250,-54.0376,4.4961,0.334,0.776814,-0.076243,0.4247
789,26,260,-53.6409,4.4783,0.3283,0.695346,-0.072374,0.4124
789,27,270,-53.4936,4.4915,0.3346,0.622569,-0.06742,0.3918
789,28,280,-53.0996,4.481,0.3293,0.556736,-0.065989,0.3904
789,29,290,-52.5311,4.4694,0.3256,0.497958,-0.062834,0.3817
789,30,300,-52.6135,4.469,0.3309,0.445792,-0.058987,0.3767
789,31,310,-52.3125,4.4466,0.3296,0.399188,-0.058498,0.3497
789,32,320,-51.9866,4.461,0.3347,0.356987,-0.056652,0.3608
789,33,330,-51.6686,4.4586,0.3285,0.31954,-0.055427,0.3493
789,34,340,-51.4537,4.443,0.3255,0.286265,-0.049792,0.3387
789,35,350,-51.2397,4.4687,0.324,0.25616,-0.048445,0.3276
789,36,360,-50.98,4.4543,0.3232,0.228965,-0.043898,0.3262
789,37,370,-50.7017,4.434,0.3293,0.204809,-0.043247,0.3212
789,38,380,-50.6205,4.4587,0.3279,0.183284,-0.043364,0.3166
789,39,390,-50.5383,4.4419,0.3246,0.164291,-0.041387,0.3146
789,40,400,-50.1963,4.4399,0.3272,0.146669,-0.038821,0.3007
789,41,410,-50.0641,4.411,0.3234,0.131474,-0.039428,0.2936
789,42,420,-50.0147,4.449,0.3252,0.117479,-0.040081,0.2834
789,43,430,-49.7509,4.427,0.3251,0.104945,-0.036525,0.2921
789,44,440,-49.6394,4.4487,0.3221,0.093685,-0.03262,0.2802
789,45,450,-49.4559,4.4186,0.3219,0.0846,-0.032415,0.2883
789,46,460,-49.3722,4.4239,0.3232,0.075546,-0.031157,0.276
789,47,470,-49.3539,4.4431,0.3248,0.06727,-0.032931,0.2748
789,48,480,-49.1897,4.4319,0.3233,0.060523,-0.03192,0.2713
789,49,490,-49.1272,4.4196,0.3216,0.054095,-0.025696,0.2654
789,50,500,-48.8679,4.4249,0.318,0.048647,-0.025801,0.2645
789,51,510,-48.9449,4.4257,0.3207,0.043587,-0.029103,0.2713
789,52,520,-48.7693,4.415,0.3189,0.03885,-0.025465,0.2595
789,53,530,-48.6497,4.4279,0.3204,0.03468,-0.024996,0.2491
789,54,540,-48.6161,4.4275,0.3176,0.030926,-0.025026,0.2608
789,55,550,-48.5768,4.4087,0.3208,0.027667,-0.022992,0.2474
789,56,560,-48.4159,4.4027,0.319,0.024585,-0.02128,0.2424
789,57,570,-48.2896,4.4015,0.3249,0.022112,-0.0187,0.2387
789,58,580,-48.278,4.3971,0.3245,0.019755,-0.020271,0.2426
789,59,590,-48.235,4.3986,0.3188,0.017545,-0.020701,0.244
789,60,600,-48.3277,4.4396,0.3235,0.015645,-0.021198,0.2438
789,61,610,-48.3203,4.4217,0.319,0.01432,-0.020637,0.2382
789,62,620,-48.2101,4.4039,0.32,0.012741,-0.019541,0.2371
789,63,630,-48.0898,4.3998,0.3222,0.01139,-0.019334,0.2388
789,64,640,-48.0061,4.4181,0.3198,0.010638,-0.019923,0.2357
789,65,650,-47.9239,4.423,0.3214,0.00948,-0.020418,0.2325
789,66,660,-47.9318,4.4015,0.3197,0.008207,-0.018373,0.2336
789,67,670,-47.8586,4.4111,0.321,0.007767,-0.017941,0.231
789,68,680,-47.8192,4.4045,0.321,0.006417,-0.022275,0.2211
