realization_id,geometry,workload,seed,eval_seed,total_tasks,total_vehicles,filename,filepath,realization_hash,created_at
realization_corridor_2400m_w40_seed0,corridor_2400m,40,0,30000,400,10,corridor_2400m_w40_seed0_realization.json,data/evaluation_realizations\corridor_2400m_w40_seed0_realization.json,44d9f614ddd143b42301cb4e3f81b7e8d0af8cc3df9754c534e0305464913393,2026-08-29T09:11:03Z
realization_corridor_2400m_w40_seed1,corridor_2400m,40,1,30001,400,10,corridor_2400m_w40_seed1_realization.json,data/evaluation_realizations\corridor_2400m_w40_seed1_realization.json,a285b459e4a82f6a4db29d76be04b3024a48a46f5ea673f78610a098a8a1c076,2026-08-29T09:11:03Z
realization_corridor_2400m_w40_seed2,corridor_2400m,40,2,30002,400,10,corridor_2400m_w40_seed2_realization.json,data/evaluation_realizations\corridor_2400m_w40_seed2_realization.json,cd1c4af1db1d5860d10534e5f47dc59bc42cfa9aea4c2f390561eabb3cb949a0,2026-08-29T09:11:03Z
realization_corridor_2400m_w40_seed3,corridor_2400m,40,3,30003,400,10,corridor_2400m_w40_seed3_realization.json,data/evaluation_realizations\corridor_2400m_w40_seed3_realization.json,63f5af78d892bf2823a66bac64778a622b81ef40e3b1268428ff7a36639585b5,2026-08-29T09:11:03Z
realization_corridor_2400m_w40_seed4,corridor_2400m,40,4,30004,400,10,corridor_2400m_w40_seed4_realization.json,data/evaluation_realizations\corridor_2400m_w40_seed4_realization.json,f1a93d11d03baa3ebd7e68aa8326f61ac42981de2d8776c94e3ebe089cdbb214,2026-08-29T09:11:03Z
realization_grid_200m_w20_seed0,grid_200m,20,0,30000,200,10,grid_200m_w20_seed0_realization.json,data/evaluation_realizations\grid_200m_w20_seed0_realization.json,20c11357f4d1d844b7a44ea5044c04fcb20af065fe6249474ab04119eab214b9,2026-08-29T09:11:03Z
realization_grid_200m_w20_seed1,grid_200m,20,1,30001,200,10,grid_200m_w20_seed1_realization.json,data/evaluation_realizations\grid_200m_w20_seed1_realization.json,8490421c85eda64a853c6814ddd2e254df30cc816592cce1d778e8380c6fe3ed,2026-08-29T09:11:03Z
realization_grid_200m_w20_seed2,grid_200m,20,2,30002,200,10,grid_200m_w20_seed2_realization.json,data/evaluation_realizations\grid_200m_w20_seed2_realization.json,baaf5ad60a61abf81aa6420695172ae5a225d02d51c1d9a9e809af740910c3d9,2026-08-29T09:11:03Z
realization_grid_200m_w20_seed3,grid_200m,20,3,30003,200,10,grid_200m_w20_seed3_realization.json,data/evaluation_realizations\grid_200m_w20_seed3_realization.json,c87ffc566d12c41fee78283f3c9d06bdd7cbaab0827f9c2786b56392a69c3dd8,2026-08-29T09:11:03Z
realization_grid_200m_w20_seed4,grid_200m,20,4,30004,200,10,grid_200m_w20_seed4_realization.json,data/evaluation_realizations\grid_200m_w20_seed4_realization.json,589d34324abcbcb03a8e18913ab924daff3f3d52913d345a584e667191895189,2026-08-29T09:11:03Z
realization_grid_200m_w30_seed0,grid_200m,30,0,30000,300,10,grid_200m_w30_seed0_realization.json,data/evaluation_realizations\grid_200m_w30_seed0_realization.json,19430c329c65946bf02a543a57403f3554a924148b80e42d126aca9c1735c890,2026-08-29T09:11:03Z
realization_grid_200m_w30_seed1,grid_200m,30,1,30001,300,10,grid_200m_w30_seed1_realization.json,data/evaluation_realizations\grid_200m_w30_seed1_realization.json,a4f8e883710373708659204b013aa06b55333c27b5b86ba8485b3904b24764ba,2026-08-29T09:11:03Z
realization_grid_200m_w30_seed2,grid_200m,30,2,30002,300,10,grid_200m_w30_seed2_realization.json,data/evaluation_realizations\grid_200m_w30_seed2_realization.json,7e2fdfb718c2506a4403422af3116182596f1f199f0f95190c7097c71376609f,2026-08-29T09:11:03Z
realization_grid_200m_w30_seed3,grid_200m,30,3,30003,300,10,grid_200m_w30_seed3_realization.json,data/evaluation_realizations\grid_200m_w30_seed3_realization.json,c3017e2ab7a99cf10ec2ed7dae7da53626f1df66c049b4b135d0b4677d6eaee3,2026-08-29T09:11:03Z
realization_grid_200m_w30_seed4,grid_200m,30,4,30004,300,10,grid_200m_w30_seed4_realization.json,data/evaluation_realizations\grid_200m_w30_seed4_realization.json,ed79bf3a948868e9d980ee441cbaeb72b2a3fb0456d1cf721d48d1f77c97599e,2026-08-29T09:11:03Z
realization_grid_200m_w40_seed0,grid_200m,40,0,30000,400,10,grid_200m_w40_seed0_realization.json,data/evaluation_realizations\grid_200m_w40_seed0_realization.json,46148cdd621e3648e3a6a785cc820a9b28fcaa477017e5adb878ef20b20fa801,2026-08-29T09:11:03Z
realization_grid_200m_w40_seed1,grid_200m,40,1,30001,400,10,grid_200m_w40_seed1_realization.json,data/evaluation_realizations\grid_200m_w40_seed1_realization.json,f01abcdc5304947d68420ab99e942b03822d59e1f8f5122d72a3eb78941cce87,2026-08-29T09:11:03Z
realization_grid_200m_w40_seed2,grid_200m,40,2,30002,400,10,grid_200m_w40_seed2_realization.json,data/evaluation_realizations\grid_200m_w40_seed2_realization.json,dfd7bcdf0c438435dc405758f14299f466ecdcbd7f33db975e56ac9df176f7f8,2026-08-29T09:11:03Z
realization_grid_200m_w40_seed3,grid_200m,40,3,30003,400,10,grid_200m_w40_seed3_realization.json,data/evaluation_realizations\grid_200m_w40_seed3_realization.json,3de53f2e8034c1901186409f18d123f303fdccd765e32458dd4a815d43815382,2026-08-29T09:11:03Z
realization_grid_200m_w40_seed4,grid_200m,40,4,30004,400,10,grid_200m_w40_seed4_realization.json,data/evaluation_realizations\grid_200m_w40_seed4_realization.json,ed764142a785113bdb59d6698df8a30d858931050450763aead92a4f5c28d817,2026-08-29T09:11:03Z
